time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:21:49.874062,60280,1715714509,873782172,map,72.50731889929295,-15.604277260089098,-3.0326576232910156,-0.0003994511219590573,0.008737996558133551,-0.15108427605451652,0.9884821846568776
2024/05/14/15:21:49.893912,60281,1715714509,893374337,map,72.57708931736548,-15.626492741516383,-3.0326576232910156,-0.0003992058630039037,0.008738007766518148,-0.15111202079332722,0.9884779436217624
2024/05/14/15:21:49.913891,60282,1715714509,913613973,map,72.64675766719137,-15.648655078607863,-3.0326576232910156,-0.0003989742203638902,0.008738018346299874,-0.15113822505452065,0.9884739373308333
2024/05/14/15:21:49.933593,60283,1715714509,933226730,map,72.71636082700066,-15.670778271973626,-3.0326576232910156,-0.0003987563666822292,0.008738028290685408,-0.15116286933253875,0.9884701688923672
2024/05/14/15:21:49.953901,60284,1715714509,953666461,map,72.78546549363818,-15.692785443293944,-3.0482101440429688,-0.0008835218205862226,0.008456073173063496,-0.1511888822918549,0.9884683283176168
2024/05/14/15:21:49.973649,60285,1715714509,973377166,map,72.85410123445504,-15.714626739806631,-3.0482101440429688,-0.0008832954418795632,0.008456096822885303,-0.15121534462325517,0.988464280470546
2024/05/14/15:21:49.993194,60286,1715714509,992961168,map,72.92282420193612,-15.736477349937624,-3.0482101440429688,-0.0008830815570706196,0.00845611916183883,-0.15124034632438094,0.9884604553847188
2024/05/14/15:21:50.013253,60287,1715714510,13006874,map,72.99159297044034,-15.758326269965474,-3.0482101440429688,-0.0008828805975098822,0.008456140145846492,-0.15126383700225338,0.9884568608852083
2024/05/14/15:21:50.033743,60288,1715714510,33492155,map,73.06039053801258,-15.780169930537811,-3.0482101440429688,-0.0008826913623616048,0.008456159901188504,-0.15128595705213507,0.9884534755943265
2024/05/14/15:21:50.053387,60289,1715714510,53066259,map,73.12930991539682,-15.802075313350983,-3.0568325519561768,-0.0017288032173344802,0.008034298118657943,-0.15130473727341465,0.9884530023080506
2024/05/14/15:21:50.073212,60290,1715714510,72988076,map,73.19856210808032,-15.824066423110605,-3.0568325519561768,-0.0017286286944531645,0.008034335670137872,-0.15132620859219081,0.9884497154060439
2024/05/14/15:21:50.094197,60291,1715714510,92829273,map,73.26775617577438,-15.846023907921806,-3.0568325519561768,-0.0017284654349070856,0.008034370794534448,-0.15134629404227823,0.9884466402253814
2024/05/14/15:21:50.113074,60292,1715714510,112840393,map,73.33692402185497,-15.867959553653048,-3.0568325519561768,-0.0017283123174365422,0.0080344037337648,-0.15136513159933251,0.9884437557236593
2024/05/14/15:21:50.132968,60293,1715714510,132772836,map,73.40607824663364,-15.889878838153345,-3.0568325519561768,-0.001728168268742174,0.008034434719297264,-0.1513828533329117,0.9884410417470344
2024/05/14/15:21:50.153524,60294,1715714510,153313623,map,73.47522480079739,-15.911784940618777,-3.0568325519561768,-0.001728032358644907,0.00803446395170286,-0.1513995737002311,0.9884384808254707
2024/05/14/15:21:50.173083,60295,1715714510,172848806,map,73.54527225123815,-15.933961350761422,-3.057857036590576,-0.0031831625158362025,0.007171157218173198,-0.15141165777426027,0.9884396551487603
2024/05/14/15:21:50.193098,60296,1715714510,192835518,map,73.61516775654714,-15.956076965804463,-3.057857036590576,-0.0031830468973772785,0.007171208538250656,-0.15142759401943492,0.9884372138633972
2024/05/14/15:21:50.213172,60297,1715714510,212927836,map,73.68497563643126,-15.978153826303576,-3.057857036590576,-0.003182938348268354,0.007171256718393573,-0.15144255572266554,0.9884349216295109
2024/05/14/15:21:50.233262,60298,1715714510,232965348,map,73.75472374839325,-16.000202189004032,-3.057857036590576,-0.003182836019263673,0.007171302135906701,-0.15145665996336338,0.9884327605524273
2024/05/14/15:21:50.253330,60299,1715714510,253043058,map,73.82424494562977,-16.02223511386394,-3.0715725421905518,-0.003944272679863875,0.006321596005646778,-0.15147540083307204,0.988432943137484
2024/05/14/15:21:50.273308,60300,1715714510,273071582,map,73.893787939714,-16.04425758021159,-3.0715725421905518,-0.003944236594718268,0.0063216185203328334,-0.1514810430265191,0.9884320784659745
2024/05/14/15:21:50.293171,60301,1715714510,292932681,map,73.96328171591387,-16.06625497530656,-3.0715725421905518,-0.003944162212656912,0.006321664928796778,-0.15149267316192044,0.9884302960326661
2024/05/14/15:21:50.313190,60302,1715714510,312847599,map,74.03274802016105,-16.088233665055128,-3.0715725421905518,-0.003944089124140381,0.006321710529007747,-0.15150410093929917,0.9884285444763031
