time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/05/14/15:48:03.040734,139943,1715716083,40588548,gps,0,0,34.81436545524403,-82.32599353309631,280.0903296833858,"(2.503997192596458, 0.0, 0.0, 0.0, 3.391935137780834, 0.0, 0.0, 0.0, 8.677582111482707)",2
2024/05/14/15:48:03.058562,139944,1715716083,58440491,gps,0,0,34.81436545524403,-82.32599353309631,280.0903296833858,"(2.503997192596458, 0.0, 0.0, 0.0, 3.391935137780834, 0.0, 0.0, 0.0, 8.677582111482707)",2
2024/05/14/15:48:03.066027,139945,1715716083,65910653,gps,0,0,34.81436545524403,-82.32599353309631,280.0903296833858,"(2.503997192596458, 0.0, 0.0, 0.0, 3.391935137780834, 0.0, 0.0, 0.0, 8.677582111482707)",2
2024/05/14/15:48:03.071525,139946,1715716083,71403973,gps,0,0,34.81436622095619,-82.32599419214814,280.02805019915104,"(2.4843681354764726, 0.0, 0.0, 0.0, 3.382825537363047, 0.0, 0.0, 0.0, 8.589600989559187)",2
2024/05/14/15:48:03.086135,139947,1715716083,86022001,gps,0,0,34.81436622095619,-82.32599419214814,280.02805019915104,"(2.4843681354764726, 0.0, 0.0, 0.0, 3.382825537363047, 0.0, 0.0, 0.0, 8.589600989559187)",2
2024/05/14/15:48:03.111044,139948,1715716083,110868018,gps,0,0,34.81436622095619,-82.32599419214814,280.02805019915104,"(2.4843681354764726, 0.0, 0.0, 0.0, 3.382825537363047, 0.0, 0.0, 0.0, 8.589600989559187)",2
2024/05/14/15:48:03.126006,139949,1715716083,125883010,gps,0,0,34.81436622095619,-82.32599419214814,280.02805019915104,"(2.4843681354764726, 0.0, 0.0, 0.0, 3.382825537363047, 0.0, 0.0, 0.0, 8.589600989559187)",2
2024/05/14/15:48:03.154698,139950,1715716083,154571624,gps,0,0,34.81436622095619,-82.32599419214814,280.02805019915104,"(2.4843681354764726, 0.0, 0.0, 0.0, 3.382825537363047, 0.0, 0.0, 0.0, 8.589600989559187)",2
2024/05/14/15:48:03.167108,139951,1715716083,166999239,gps,0,0,34.81436465923276,-82.3259931735095,280.21918084286153,"(2.474357733567686, 0.0, 0.0, 0.0, 3.3593818717031922, 0.0, 0.0, 0.0, 8.526726261971135)",2
2024/05/14/15:48:03.185498,139952,1715716083,185366621,gps,0,0,34.81436465923276,-82.3259931735095,280.21918084286153,"(2.474357733567686, 0.0, 0.0, 0.0, 3.3593818717031922, 0.0, 0.0, 0.0, 8.526726261971135)",2
2024/05/14/15:48:03.205491,139953,1715716083,205388286,gps,0,0,34.81436465923276,-82.3259931735095,280.21918084286153,"(2.474357733567686, 0.0, 0.0, 0.0, 3.3593818717031922, 0.0, 0.0, 0.0, 8.526726261971135)",2
2024/05/14/15:48:03.225935,139954,1715716083,225818494,gps,0,0,34.81436465923276,-82.3259931735095,280.21918084286153,"(2.474357733567686, 0.0, 0.0, 0.0, 3.3593818717031922, 0.0, 0.0, 0.0, 8.526726261971135)",2
