time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:47:22.606004,119625,1715716042,605670975,,0.25200000405311584
2024/05/14/15:47:22.616082,119626,1715716042,615676927,,0.25200000405311584
2024/05/14/15:47:22.626096,119627,1715716042,625702941,,0.25200000405311584
2024/05/14/15:47:22.635943,119628,1715716042,635658879,,0.25200000405311584
2024/05/14/15:47:22.645992,119629,1715716042,645656123,,0.25200000405311584
2024/05/14/15:47:22.663811,119630,1715716042,655662167,,0.25200000405311584
2024/05/14/15:47:22.666065,119631,1715716042,665656617,,0.25200000405311584
2024/05/14/15:47:22.675959,119632,1715716042,675657189,,0.25200000405311584
2024/05/14/15:47:22.686181,119633,1715716042,685686311,,0.25200000405311584
2024/05/14/15:47:22.695946,119634,1715716042,695655946,,0.25200000405311584
2024/05/14/15:47:22.706420,119635,1715716042,705652193,,0.25200000405311584
2024/05/14/15:47:22.715965,119636,1715716042,715651448,,0.25200000405311584
2024/05/14/15:47:22.726067,119637,1715716042,725675155,,0.25200000405311584
2024/05/14/15:47:22.736019,119638,1715716042,735712412,,0.25200000405311584
2024/05/14/15:47:22.746180,119639,1715716042,745704571,,0.25200000405311584
2024/05/14/15:47:22.757082,119640,1715716042,755710896,,0.25200000405311584
2024/05/14/15:47:22.766025,119641,1715716042,765675350,,0.25200000405311584
2024/05/14/15:47:22.776057,119642,1715716042,775713031,,0.25200000405311584
2024/05/14/15:47:22.786019,119643,1715716042,785713522,,0.25200000405311584
2024/05/14/15:47:22.796086,119644,1715716042,795673682,,0.25200000405311584
2024/05/14/15:47:22.806147,119645,1715716042,805673934,,0.25200000405311584
2024/05/14/15:47:22.816066,119646,1715716042,815719757,,0.25200000405311584
2024/05/14/15:47:22.826057,119647,1715716042,825696234,,0.25200000405311584
2024/05/14/15:47:22.836258,119648,1715716042,835706866,,0.25200000405311584
2024/05/14/15:47:22.846059,119649,1715716042,845701659,,0.25200000405311584
2024/05/14/15:47:22.862891,119650,1715716042,855718974,,0.25200000405311584
2024/05/14/15:47:22.866127,119651,1715716042,865703640,,0.25200000405311584
2024/05/14/15:47:22.876141,119652,1715716042,875754778,,0.25200000405311584
2024/05/14/15:47:22.886154,119653,1715716042,885725343,,0.25200000405311584
2024/05/14/15:47:22.895992,119654,1715716042,895688503,,0.25200000405311584
2024/05/14/15:47:22.906175,119655,1715716042,905705249,,0.25200000405311584
2024/05/14/15:47:22.918754,119656,1715716042,915733358,,0.25200000405311584
2024/05/14/15:47:22.926089,119657,1715716042,925739275,,0.25200000405311584
2024/05/14/15:47:22.936090,119658,1715716042,935742334,,0.25200000405311584
2024/05/14/15:47:22.946124,119659,1715716042,945738735,,0.25200000405311584
2024/05/14/15:47:22.958948,119660,1715716042,955812292,,0.25200000405311584
2024/05/14/15:47:22.967387,119661,1715716042,965716828,,0.25200000405311584
2024/05/14/15:47:22.976109,119662,1715716042,975720557,,0.25200000405311584
2024/05/14/15:47:22.986126,119663,1715716042,985712702,,0.25200000405311584
2024/05/14/15:47:22.996144,119664,1715716042,995721811,,0.25200000405311584
2024/05/14/15:47:23.006208,119665,1715716043,5735822,,0.25200000405311584
2024/05/14/15:47:23.016168,119666,1715716043,15760678,,0.25200000405311584
2024/05/14/15:47:23.026145,119667,1715716043,25737671,,0.25200000405311584
2024/05/14/15:47:23.036089,119668,1715716043,35744729,,0.25200000405311584
2024/05/14/15:47:23.046175,119669,1715716043,45761613,,0.25200000405311584
2024/05/14/15:47:23.059134,119670,1715716043,55745130,,0.25200000405311584
2024/05/14/15:47:23.066091,119671,1715716043,65734687,,0.25200000405311584
2024/05/14/15:47:23.076040,119672,1715716043,75731361,,0.25200000405311584
2024/05/14/15:47:23.086203,119673,1715716043,85754617,,0.25200000405311584
2024/05/14/15:47:23.096112,119674,1715716043,95728453,,0.25200000405311584
2024/05/14/15:47:23.106177,119675,1715716043,105760808,,0.25200000405311584
2024/05/14/15:47:23.116214,119676,1715716043,115753589,,0.25200000405311584
2024/05/14/15:47:23.126186,119677,1715716043,125808564,,0.25200000405311584
2024/05/14/15:47:23.136107,119678,1715716043,135778554,,0.25200000405311584
2024/05/14/15:47:23.146153,119679,1715716043,145756309,,0.25200000405311584
2024/05/14/15:47:23.159984,119680,1715716043,155754252,,0.25200000405311584
2024/05/14/15:47:23.166292,119681,1715716043,165788389,,0.25200000405311584
2024/05/14/15:47:23.176096,119682,1715716043,175755034,,0.25200000405311584
2024/05/14/15:47:23.186232,119683,1715716043,185773943,,0.25200000405311584
2024/05/14/15:47:23.196095,119684,1715716043,195751455,,0.25200000405311584
2024/05/14/15:47:23.206165,119685,1715716043,205769251,,0.25200000405311584
2024/05/14/15:47:23.216226,119686,1715716043,215778401,,0.25200000405311584
2024/05/14/15:47:23.226131,119687,1715716043,225774702,,0.25200000405311584
2024/05/14/15:47:23.236252,119688,1715716043,235775473,,0.25200000405311584
2024/05/14/15:47:23.246269,119689,1715716043,245833916,,0.25200000405311584
